mapping_mode,suture_shortening_pct,ap_reduction_pct,ap_matched,single_physics_regurgitation_pct,dual_physics_regurgitation_pct,delta_physics_regurg_pct_points,single_jet_location,dual_jet_location,single_commissural_fraction,dual_commissural_fraction,within_planner_ap_cap_20,note
clinical,10.0,3.0,True,1.0085,1.0085,0.0,central,central,0.115,0.0575,True,Matched AP via same suture % under clinical η; dual-factor sensitivity (hypothesis)
clinical,15.0,4.5,True,0.9834,0.9834,0.0,central,central,0.1225,0.0612,True,Matched AP via same suture % under clinical η; dual-factor sensitivity (hypothesis)
clinical,20.0,6.0,True,0.9586,0.9586,0.0,central,central,0.13,0.065,True,Matched AP via same suture % under clinical η; dual-factor sensitivity (hypothesis)
clinical,25.0,7.5,True,0.9341,0.9341,0.0,central,central,0.1375,0.0688,True,Matched AP via same suture % under clinical η; dual-factor sensitivity (hypothesis)
clinical,30.0,9.0,True,0.91,0.91,0.0,central,central,0.145,0.0725,True,Matched AP via same suture % under clinical η; dual-factor sensitivity (hypothesis)
clinical,35.0,10.5,True,0.8922,0.8922,0.0,central,central,0.1525,0.0762,True,Matched AP via same suture % under clinical η; dual-factor sensitivity (hypothesis)
clinical,40.0,12.0,True,0.8747,0.8747,0.0,central,central,0.16,0.08,True,Matched AP via same suture % under clinical η; dual-factor sensitivity (hypothesis)
clinical,45.0,13.5,True,0.8573,0.8573,0.0,central,central,0.1675,0.0838,True,Matched AP via same suture % under clinical η; dual-factor sensitivity (hypothesis)
clinical,50.0,15.0,True,0.8401,0.8401,0.0,central,central,0.21,0.105,True,Matched AP via same suture % under clinical η; dual-factor sensitivity (hypothesis)
clinical,55.0,16.5,True,0.8243,0.8243,0.0,central,central,0.27,0.135,True,Matched AP via same suture % under clinical η; dual-factor sensitivity (hypothesis)
clinical,60.0,18.0,True,0.8086,0.8086,0.0,mixed,central,0.33,0.165,True,Matched AP via same suture % under clinical η; dual-factor sensitivity (hypothesis)
clinical,65.0,19.5,True,0.7931,0.7931,0.0,mixed,central,0.39,0.195,True,Matched AP via same suture % under clinical η; dual-factor sensitivity (hypothesis)
clinical,70.0,21.0,True,0.7778,0.7778,0.0,mixed,central,0.47,0.235,False,Matched AP via same suture % under clinical η; dual-factor sensitivity (hypothesis)
