device,n_sutures,shortening_pct,physics_regurgitation_pct,ap_reduction_pct,cs_lcx_mm,niti_alternating_strain_pct,jet_location,feasible,constraint_violations
IMA-CS,0,10.0,0.9851,5.5,9.8,0.22,central,True,
IMA-CS,0,12.0,0.7481,6.6,9.56,0.244,central,True,
IMA-CS,0,14.0,0.5499,7.7,9.32,0.268,central,True,
IMA-CS,0,16.0,0.3872,8.8,9.08,0.292,central,True,
IMA-CS,0,18.0,0.257,9.9,8.84,0.316,central,True,
IMA-CS,0,20.0,0.1562,11.0,8.6,0.34,central,True,
IMA-CS,0,22.0,0.0826,12.1,8.36,0.364,central,False,cs_lcx
IMA-CS,0,24.0,0.0432,13.2,8.12,0.388,central,False,cs_lcx
IMA-CS,0,25.0,0.0401,13.75,8.0,0.4,central,False,"niti_alternating_strain,cs_lcx"
IMA-AP,1,10.0,1.9084,3.0,,,central,True,
IMA-AP,1,15.0,1.5407,4.5,,,central,True,
IMA-AP,1,20.0,1.2221,6.0,,,central,True,
IMA-AP,1,25.0,0.9493,7.5,,,central,True,
IMA-AP,1,30.0,0.7182,9.0,,,central,True,
IMA-AP,1,35.0,0.5255,10.5,,,central,True,
IMA-AP,1,40.0,0.368,12.0,,,central,True,
IMA-AP,1,45.0,0.2424,13.5,,,central,True,
IMA-AP,1,50.0,0.1467,15.0,,,central,True,
IMA-AP,1,55.0,0.0927,16.5,,,central,True,
IMA-AP,1,60.0,0.0754,18.0,,,mixed,True,
IMA-AP,1,65.0,0.2023,19.5,,,mixed,True,
IMA-AP,1,70.0,0.3911,21.0,,,mixed,False,ap_reduction
IMA-AP,2,10.0,1.913,3.0,,,central,True,
IMA-AP,2,15.0,1.5447,4.5,,,central,True,
IMA-AP,2,20.0,1.2255,6.0,,,central,True,
IMA-AP,2,25.0,0.9518,7.5,,,central,True,
IMA-AP,2,30.0,0.7201,9.0,,,central,True,
IMA-AP,2,35.0,0.5268,10.5,,,central,True,
IMA-AP,2,40.0,0.3688,12.0,,,central,True,
IMA-AP,2,45.0,0.2429,13.5,,,central,True,
IMA-AP,2,50.0,0.1465,15.0,,,central,True,
IMA-AP,2,55.0,0.0913,16.5,,,central,True,
IMA-AP,2,60.0,0.0735,18.0,,,central,True,
IMA-AP,2,65.0,0.116,19.5,,,central,True,
IMA-AP,2,70.0,0.1663,21.0,,,central,False,ap_reduction
