device,n_sutures,shortening_pct,physics_regurgitation_pct,ap_reduction_pct,cs_lcx_mm,niti_alternating_strain_pct,jet_location,feasible,constraint_violations
IMA-CS,0,10.0,0.6137,5.5,9.8,0.22,central,True,
IMA-CS,0,12.0,0.5646,6.6,9.56,0.244,central,True,
IMA-CS,0,14.0,0.5175,7.7,9.32,0.268,central,True,
IMA-CS,0,16.0,0.4732,8.8,9.08,0.292,central,True,
IMA-CS,0,18.0,0.4309,9.9,8.84,0.316,central,True,
IMA-CS,0,20.0,0.3912,11.0,8.6,0.34,central,True,
IMA-CS,0,22.0,0.3535,12.1,8.36,0.364,central,False,cs_lcx
IMA-CS,0,24.0,0.3164,13.2,8.12,0.388,central,False,cs_lcx
IMA-CS,0,25.0,0.2987,13.75,8.0,0.4,central,False,"niti_alternating_strain,cs_lcx"
IMA-AP,1,10.0,1.0085,3.0,,,central,True,
IMA-AP,1,15.0,0.9834,4.5,,,central,True,
IMA-AP,1,20.0,0.9586,6.0,,,central,True,
IMA-AP,1,25.0,0.9341,7.5,,,central,True,
IMA-AP,1,30.0,0.91,9.0,,,central,True,
IMA-AP,1,35.0,0.8922,10.5,,,central,True,
IMA-AP,1,40.0,0.8747,12.0,,,central,True,
IMA-AP,1,45.0,0.8573,13.5,,,central,True,
IMA-AP,1,50.0,0.8401,15.0,,,central,True,
IMA-AP,1,55.0,0.8243,16.5,,,central,True,
IMA-AP,1,60.0,0.8086,18.0,,,mixed,True,
IMA-AP,1,65.0,0.7931,19.5,,,mixed,True,
IMA-AP,1,70.0,0.7778,21.0,,,mixed,False,ap_reduction
IMA-AP,2,10.0,1.0085,3.0,,,central,True,
IMA-AP,2,15.0,0.9834,4.5,,,central,True,
IMA-AP,2,20.0,0.9586,6.0,,,central,True,
IMA-AP,2,25.0,0.9341,7.5,,,central,True,
IMA-AP,2,30.0,0.91,9.0,,,central,True,
IMA-AP,2,35.0,0.8922,10.5,,,central,True,
IMA-AP,2,40.0,0.8747,12.0,,,central,True,
IMA-AP,2,45.0,0.8573,13.5,,,central,True,
IMA-AP,2,50.0,0.8401,15.0,,,central,True,
IMA-AP,2,55.0,0.8243,16.5,,,central,True,
IMA-AP,2,60.0,0.8086,18.0,,,central,True,
IMA-AP,2,65.0,0.7931,19.5,,,central,True,
IMA-AP,2,70.0,0.7778,21.0,,,central,False,ap_reduction
